iter	Passed	Remaining
0	43	20091
1	81	18927
2	119	18428
3	157	18198
4	192	17773
5	225	17291
6	259	17028
7	309	17750
8	359	18314
9	401	18334
10	449	18620
11	487	18477
12	523	18291
13	559	18108
14	591	17828
15	635	17917
16	676	17904
17	716	17866
18	758	17880
19	782	17498
20	809	17189
21	839	16988
22	868	16774
23	897	16566
24	928	16410
25	965	16368
26	993	16192
27	1021	16017
28	1051	15888
29	1080	15735
30	1107	15573
31	1159	15758
32	1200	15788
33	1228	15644
34	1267	15649
35	1307	15654
36	1345	15638
37	1379	15570
38	1411	15488
39	1439	15364
40	1473	15311
41	1501	15195
42	1529	15080
43	1560	15003
44	1594	14954
45	1634	14957
46	1672	14949
47	1709	14923
48	1741	14854
49	1772	14783
50	1806	14737
51	1838	14676
52	1869	14601
53	1903	14559
54	1932	14478
55	1963	14407
56	1989	14311
57	2015	14211
58	2061	14258
59	2097	14226
60	2132	14193
61	2170	14175
62	2204	14135
63	2240	14109
64	2276	14078
65	2322	14113
66	2362	14104
67	2396	14062
68	2427	14003
69	2467	13992
70	2503	13963
71	2542	13946
72	2577	13913
73	2614	13887
74	2650	13853
75	2704	13913
76	2750	13928
77	2781	13870
78	2813	13816
79	2842	13749
80	2874	13696
81	2907	13651
82	2938	13596
83	2975	13568
84	3020	13576
85	3071	13607
86	3117	13618
87	3161	13617
88	3194	13568
89	3231	13538
90	3262	13479
91	3299	13447
92	3344	13449
93	3375	13395
94	3405	13333
95	3443	13306
96	3472	13245
97	3502	13187
98	3536	13146
99	3573	13113
100	3602	13055
101	3638	13018
102	3673	12981
103	3709	12946
104	3748	12921
105	3785	12891
106	3819	12851
107	3854	12812
108	3886	12763
109	3918	12717
110	3951	12672
111	3988	12643
112	4026	12612
113	4062	12578
114	4090	12520
115	4121	12471
116	4150	12416
117	4180	12363
118	4213	12323
119	4246	12278
120	4284	12251
121	4331	12248
122	4369	12219
123	4405	12185
124	4433	12128
125	4459	12069
126	4484	12006
127	4512	11951
128	4543	11904
129	4578	11868
130	4607	11816
131	4640	11777
132	4668	11724
133	4695	11669
134	4721	11612
135	4753	11568
136	4786	11529
137	4815	11481
138	4849	11444
139	4880	11400
140	4910	11352
141	4940	11306
142	4974	11270
143	5004	11225
144	5039	11191
145	5069	11146
146	5101	11104
147	5131	11060
148	5161	11015
149	5192	10973
150	5228	10942
151	5276	10935
152	5320	10919
153	5358	10891
154	5394	10859
155	5426	10817
156	5457	10776
157	5493	10743
158	5520	10694
159	5548	10646
160	5575	10597
161	5605	10553
162	5637	10513
163	5665	10467
164	5692	10419
165	5722	10376
166	5745	10320
167	5772	10273
168	5799	10226
169	5827	10180
170	5854	10133
171	5883	10091
172	5910	10045
173	5939	10002
174	5967	9957
175	5994	9911
176	6019	9862
177	6054	9829
178	6092	9802
179	6134	9781
180	6178	9762
181	6216	9735
182	6257	9711
183	6308	9702
184	6344	9671
185	6385	9646
186	6422	9615
187	6456	9581
188	6491	9548
189	6523	9510
190	6561	9481
191	6603	9457
192	6640	9427
193	6666	9381
194	6696	9340
195	6724	9297
196	6752	9255
197	6780	9212
198	6811	9173
199	6846	9140
200	6874	9098
201	6907	9061
202	6935	9019
203	6962	8976
204	6989	8932
205	7020	8894
206	7050	8856
207	7086	8823
208	7115	8784
209	7141	8740
210	7169	8698
211	7199	8659
212	7233	8626
213	7261	8584
214	7295	8550
215	7324	8511
216	7359	8478
217	7399	8452
218	7427	8410
219	7457	8372
220	7484	8331
221	7515	8293
222	7544	8254
223	7572	8214
224	7603	8178
225	7640	8147
226	7678	8118
227	7709	8081
228	7747	8051
229	7776	8013
230	7810	7979
231	7837	7939
232	7865	7898
233	7889	7855
234	7922	7821
235	7958	7789
236	7993	7757
237	8041	7737
238	8068	7696
239	8093	7655
240	8120	7615
241	8148	7576
242	8185	7545
243	8211	7504
244	8246	7472
245	8280	7439
246	8314	7405
247	8343	7367
248	8375	7333
249	8410	7300
250	8441	7264
251	8474	7230
252	8513	7201
253	8544	7165
254	8586	7138
255	8616	7101
256	8642	7062
257	8671	7024
258	8706	6992
259	8739	6958
260	8771	6923
261	8797	6883
262	8828	6848
263	8856	6810
264	8885	6772
265	8919	6739
266	8954	6707
267	8989	6674
268	9015	6635
269	9043	6598
270	9089	6574
271	9137	6550
272	9165	6513
273	9197	6478
274	9223	6439
275	9265	6411
276	9305	6382
277	9338	6348
278	9372	6315
279	9404	6280
280	9435	6245
281	9470	6212
282	9510	6183
283	9547	6152
284	9576	6115
285	9611	6082
286	9648	6051
287	9698	6028
288	9751	6006
289	9801	5982
290	9854	5960
291	9897	5931
292	9938	5901
293	9973	5868
294	10017	5840
295	10059	5811
296	10146	5807
297	10231	5802
298	10279	5775
299	10312	5740
300	10340	5702
301	10373	5667
302	10404	5631
303	10433	5594
304	10464	5558
305	10499	5524
306	10537	5491
307	10586	5465
308	10620	5430
309	10651	5394
310	10681	5357
311	10713	5322
312	10746	5287
313	10777	5251
314	10810	5216
315	10840	5180
316	10867	5142
317	10905	5109
318	10940	5075
319	10969	5038
320	10997	5002
321	11026	4965
322	11056	4929
323	11088	4894
324	11118	4857
325	11158	4826
326	11195	4793
327	11222	4755
328	11258	4722
329	11281	4683
330	11304	4644
331	11327	4605
332	11355	4569
333	11379	4531
334	11409	4495
335	11437	4459
336	11469	4424
337	11498	4388
338	11530	4353
339	11569	4321
340	11609	4289
341	11645	4256
342	11678	4222
343	11705	4185
344	11737	4150
345	11771	4116
346	11805	4082
347	11840	4048
348	11871	4013
349	11901	3978
350	11927	3942
351	11960	3907
352	11994	3873
353	12024	3838
354	12056	3803
355	12087	3768
356	12116	3733
357	12146	3698
358	12176	3663
359	12210	3629
360	12247	3596
361	12279	3561
362	12311	3527
363	12341	3492
364	12369	3456
365	12400	3422
366	12428	3386
367	12456	3351
368	12484	3315
369	12517	3281
370	12548	3246
371	12579	3212
372	12612	3178
373	12649	3145
374	12674	3109
375	12699	3073
376	12722	3037
377	12750	3002
378	12775	2966
379	12804	2931
380	12835	2897
381	12862	2862
382	12890	2827
383	12916	2791
384	12943	2756
385	12968	2721
386	12996	2686
387	13020	2651
388	13043	2615
389	13068	2580
390	13098	2546
391	13131	2512
392	13161	2478
393	13195	2444
394	13235	2412
395	13272	2379
396	13302	2345
397	13337	2312
398	13364	2277
399	13396	2243
400	13432	2210
401	13458	2176
402	13493	2142
403	13537	2111
404	13586	2079
405	13632	2048
406	13678	2016
407	13710	1982
408	13746	1949
409	13777	1915
410	13808	1881
411	13862	1850
412	13903	1817
413	13940	1784
414	13985	1752
415	14018	1718
416	14054	1685
417	14091	1651
418	14126	1618
419	14160	1584
420	14195	1551
421	14240	1518
422	14285	1485
423	14326	1452
424	14367	1419
425	14404	1386
426	14435	1352
427	14468	1318
428	14516	1285
429	14554	1252
430	14593	1218
431	14630	1185
432	14664	1151
433	14697	1117
434	14732	1083
435	14763	1049
436	14798	1015
437	14840	982
438	14875	948
439	14916	915
440	14957	881
441	14988	847
442	15023	813
443	15058	780
444	15093	746
445	15123	712
446	15152	677
447	15182	643
448	15223	610
449	15257	576
450	15289	542
451	15318	508
452	15344	474
453	15376	440
454	15400	406
455	15426	372
456	15449	338
457	15476	304
458	15512	270
459	15543	236
460	15570	202
461	15598	168
462	15628	135
463	15652	101
464	15677	67
465	15701	33
466	15728	0
